titulo|autores|isbn|calificacion_promedio
Anthem|Ayn Rand|0452281253|3.63
We the Living|Ayn Rand-Leonard Peikoff|0451187849|3.91
Capitalism: The Unknown Ideal|Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen|0451147952|3.87
Letters of Ayn Rand|Ayn Rand-Michael S. Berliner-Leonard Peikoff|0452274044|3.97
Sailing for Dummies|J.J. Isler-Peter Isler|0471791431|3.94
Sailing from Byzantium: How a Lost Empire Shaped the World|Colin  Wells|0553803816|3.87
Sailing Alone Around the Room: New and Selected Poems|Billy Collins|0375755195|4.23
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories|Christopher Caswell|1592283195|3.63
"Natural Cures ""They"" Don't Want You to Know about"|Kevin Trudeau|0975599518|3.08
The Natural|Bernard Malamud-Kevin Baker|0374502005|3.63
Digging to America|Anne Tyler|0307263940|3.55
Rereading America: Cultural Contexts for Critical Thinking and Writing|Gary Colombo-Bonnie Lisle|0312405545|3.77
Modern Latin America|Thomas E. Skidmore-Peter H. Smith|019517013X|3.59
The Plot Against America|Philip Roth|1400079497|3.75
America (The Book): A Citizen's Guide to Democracy Inaction|Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms|0713998946|4.02
Naked Pictures of Famous People|Jon Stewart|0688171621|3.59
Collected Stories|Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein|0060932686|4.19
Crónica de una muerte anunciada|Gabriel García Márquez|1400034957|3.96
Cien años de soledad|Gabriel García Márquez|0307350428|4.06
Del amor y otros demonios|Gabriel García Márquez|0307350444|3.98
Living to Tell the Tale|Gabriel García Márquez-Edith Grossman|140003454X|3.98
Memoria de mis putas tristes|Gabriel García Márquez|1400095808|3.59
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory|Brian Greene|0375708111|4.07
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman|Upasika Kee Nanayon-Thanissaro Bhikkhu|086171492X|4.38
The Mini Rough Guide to London|Rob Humphreys-Beth Chaplin-Rebecca Morrill|184353584X|3.75
London: City Guide (Lonely Planet City Guide)|Lonely Planet-Sarah Johnstone-Tom Masters|1740598318|4.03
Best of London (Lonely Planet Best Of)|Lonely Planet-Sarah Johnstone-Steve Fallon|1740594770|4.09
London|Lonely Planet-Steve Fallon-Pat Yale|186450353X|4.03
Lonely Planet Londres|Lonely Planet-Sarah Johnstone-Tom Masters|8408064762|4.03
Out to Eat London 2002 (Lonely Planet Out to Eat)|Lonely Planet-Mark Honan|1740592050|0.0
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager|H.G. Bissinger|0618710531|3.87
Cryptonomicon|Neal Stephenson|0060512806|4.25
Golgotha (Cryptonomicon  #3)|Neal Stephenson|2228894699|4.13
Le Réseau Kinakuta (Cryptonomicon  #2)|Neal Stephenson|2228894168|4.11
The Confusion (The Baroque Cycle  #2)|Neal Stephenson|0060733357|4.25
Quicksilver (The Baroque Cycle  #1)|Neal Stephenson|0060593083|3.93
The Cobweb|Neal Stephenson-J. Frederick George|0553383442|3.61
Zodiac|Neal Stephenson|0553573861|3.71
The Big U|Neal Stephenson|0380816032|3.25
The Diamond Age: Or  A Young Lady's Illustrated Primer|Neal Stephenson|0553380966|4.19
Interface|Neal Stephenson-George F. Jewsbury-Stephen  Bury|0553383434|3.67
Odalisque (The Baroque Cycle  Vol. 1  Book 3)|Neal Stephenson|0060833181|4.2
Snow Crash|Neal Stephenson|0553380958|4.03
Snow Crash|Neal Stephenson-Joachim Körber|344245302X|4.03
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame|Dan Harrington-Bill Robertie|1880685353|4.15
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play|Dan Harrington-Bill Robertie|1880685337|4.23
The Design of Everyday Things|Donald A. Norman|0465067107|4.19
Emotional Design: Why We Love (or Hate) Everyday Things|Donald A. Norman|0465051367|3.94
The Psychology of Everyday Things|Donald A. Norman|0465067093|4.19
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson|Alex C. Jones-Diane M. Hanson-Stephen K. Ray|0898709199|4.26
The Alchemist|Paulo Coelho-Alan R. Clarke-James Noel Smith|0060887966|3.85
The Alchemist|Paulo Coelho-Alan R. Clarke-Özdemir İnce|0061122416|3.85
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9)|Hiromu Arakawa-Akira Watanabe|142150460X|4.57
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3)|Hiromu Arakawa-Akira Watanabe|1591169259|4.56
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8)|Hiromu Arakawa-Akira Watanabe|1421504596|4.57
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1)|Hiromu Arakawa-Akira Watanabe|1591169208|4.49
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4)|Hiromu Arakawa-Akira Watanabe|1591169291|4.55
The Illustrated Alchemist: A Fable about Following Your Dream|Paulo Coelho-Alan R. Clarke-Mœbius|006019250X|3.85
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2)|Hiromu Arakawa-Akira Watanabe|1591169232|4.52
The Kite Runner|Khaled Hosseini|0747588945|4.28
Pompeii|Robert   Harris|0812974611|3.81
The Last Days of Pompeii|Edward Bulwer-Lytton-John Gregory Betancourt|158715739X|3.59
Of Mice and Men|John Steinbeck|0142000671|3.86
Of Mice and Men|John Steinbeck-Jim Taylor|0582461464|3.86
The Game: Penetrating the Secret Society of Pickup Artists|Neil Strauss|0060554738|3.74
The Westing Game|Ellen Raskin|014240120X|4.02
The Egypt Game|Zilpha Keatley Snyder|0808553038|3.82
Memoirs of a Geisha|Arthur Golden|1400096898|4.1
Memoirs of a Geisha|Arthur Golden|0739326228|4.1
Memoirs of a Geisha|Arthur Golden|0099498189|4.1
Memoirs of a Geisha: A Portrait of the Film|David        James-Peggy Mulloy-Rob Marshall-Arthur Golden|1557046832|4.08
Memoirs of a Geisha|Arthur Golden|0099771519|4.1
Geisha of Gion|Mineko Iwasaki-Rande Brown|074343059X|3.93
Memoirs Of A Geisha|Arthur Golden|0007229577|4.1
